ID,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
1,YOLOv8 Nano,True,True,1,Random,0%,90%,90%
2,YOLOv8 Nano,True,True,1,Random,0%,90%,100%
3,YOLOv8 Nano,True,True,1,Random,0%,90%,110%
4,YOLOv8 Nano,True,True,1,Random,0%,100%,90%
5,YOLOv8 Nano,True,True,1,Random,0%,100%,100%
6,YOLOv8 Nano,True,True,1,Random,0%,100%,110%
7,YOLOv8 Nano,True,True,1,Random,0%,110%,90%
8,YOLOv8 Nano,True,True,1,Random,0%,110%,100%
9,YOLOv8 Nano,True,True,1,Random,0%,110%,110%
10,YOLOv8 Nano,True,True,1,Random,5%,90%,90%
11,YOLOv8 Nano,True,True,1,Random,5%,90%,100%
12,YOLOv8 Nano,True,True,1,Random,5%,90%,110%
13,YOLOv8 Nano,True,True,1,Random,5%,100%,90%
14,YOLOv8 Nano,True,True,1,Random,5%,100%,100%
15,YOLOv8 Nano,True,True,1,Random,5%,100%,110%
16,YOLOv8 Nano,True,True,1,Random,5%,110%,90%
17,YOLOv8 Nano,True,True,1,Random,5%,110%,100%
18,YOLOv8 Nano,True,True,1,Random,5%,110%,110%
19,YOLOv8 Nano,True,True,1,Random,10%,90%,90%
20,YOLOv8 Nano,True,True,1,Random,10%,90%,100%
21,YOLOv8 Nano,True,True,1,Random,10%,90%,110%
22,YOLOv8 Nano,True,True,1,Random,10%,100%,90%
23,YOLOv8 Nano,True,True,1,Random,10%,100%,100%
24,YOLOv8 Nano,True,True,1,Random,10%,100%,110%
25,YOLOv8 Nano,True,True,1,Random,10%,110%,90%
26,YOLOv8 Nano,True,True,1,Random,10%,110%,100%
27,YOLOv8 Nano,True,True,1,Random,10%,110%,110%
28,YOLOv8 Nano,True,True,1,Random,15%,90%,90%
29,YOLOv8 Nano,True,True,1,Random,15%,90%,100%
30,YOLOv8 Nano,True,True,1,Random,15%,90%,110%
31,YOLOv8 Nano,True,True,1,Random,15%,100%,90%
32,YOLOv8 Nano,True,True,1,Random,15%,100%,100%
33,YOLOv8 Nano,True,True,1,Random,15%,100%,110%
34,YOLOv8 Nano,True,True,1,Random,15%,110%,90%
35,YOLOv8 Nano,True,True,1,Random,15%,110%,100%
36,YOLOv8 Nano,True,True,1,Random,15%,110%,110%
37,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,90%
38,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,100%
39,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,110%
40,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,90%
41,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,100%
42,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,110%
43,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,90%
44,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,100%
45,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,110%
46,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,90%
47,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,100%
48,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,110%
49,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,90%
