ID,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,sam_mask_AP@50,sam_mask_AP@75,sam_mask_AP@95,sam_mask_AP@50:95,sam_mask_AR@50,sam_mask_AR@75,sam_mask_AR@95,sam_mask_AR@50:95,ModelCategory
1,YOLOv8 Nano,True,True,1,Random,0%,90%,90%,0.8651717208597622,0.7812453966218744,0.44682288198427833,0.6977466664886383,0.7395395306409429,0.6718380617147899,0.33852645418932314,0.5833013488483519,YOLOv8n
2,YOLOv8 Nano,True,True,1,Random,0%,90%,100%,0.8750430746704775,0.785936631913351,0.44802113316036724,0.7030002799147318,0.7585180091931081,0.6848286594840306,0.34530127422759677,0.5962159809682452,YOLOv8n
3,YOLOv8 Nano,True,True,1,Random,0%,90%,110%,0.8576586962803062,0.7794374835689234,0.45541846158387805,0.6975048804777024,0.7238375876404816,0.6582051762513956,0.33594586126964215,0.5726628750538397,YOLOv8n
4,YOLOv8 Nano,True,True,1,Random,0%,100%,90%,0.8681223763288805,0.7779886046938238,0.4417596831902745,0.6959568880709929,0.7510341784787216,0.682016983668212,0.3400757027993188,0.5910422883154175,YOLOv8n
5,YOLOv8 Nano,True,True,1,Random,0%,100%,100%,0.8504729708626136,0.7471406123962347,0.3883082332730487,0.6619739388439656,0.7536301027451658,0.6742439913540367,0.2897156418154214,0.5725299119715413,YOLOv8n
6,YOLOv8 Nano,True,True,1,Random,0%,100%,110%,0.8723754676962616,0.7838306107764287,0.4419058662868578,0.6993706482531826,0.7483410648352906,0.6836020752163191,0.3293860560310436,0.5871097320275511,YOLOv8n
7,YOLOv8 Nano,True,True,1,Random,0%,110%,90%,0.8480718336895834,0.762524942041735,0.4019744496620229,0.6708570751311138,0.7311307320759657,0.6641218951447159,0.3061362896022424,0.5671296389409747,YOLOv8n
8,YOLOv8 Nano,True,True,1,Random,0%,110%,100%,0.8518135224055944,0.752975262427361,0.41810920704595,0.6742993306263018,0.7609772080736827,0.6862611179809343,0.3285545500993352,0.5919309587179842,YOLOv8n
9,YOLOv8 Nano,True,True,1,Random,0%,110%,110%,0.8545445970273701,0.7629866210302175,0.37338497232660717,0.663638730128065,0.7680576659409398,0.6949288685358308,0.30138642346114763,0.5881243193126394,YOLOv8n
10,YOLOv8 Nano,True,True,1,Random,5%,90%,90%,0.8784654682128118,0.799330664774152,0.4753187005059653,0.7177049444976431,0.7462525928599093,0.6835103453089283,0.3644996847271508,0.5980875409653295,YOLOv8n
11,YOLOv8 Nano,True,True,1,Random,5%,90%,100%,0.8682109672072571,0.7721362655843061,0.4396145002045599,0.6933205776653742,0.7604553666287734,0.6852676997953494,0.3463829362605081,0.5973686675615435,YOLOv8n
12,YOLOv8 Nano,True,True,1,Random,5%,90%,110%,0.8740064536637699,0.7944095958006452,0.45631267070529286,0.708242906723236,0.7584559888081653,0.6922926962939665,0.3506168997181275,0.6004551949400865,YOLOv8n
13,YOLOv8 Nano,True,True,1,Random,5%,100%,90%,0.8690292933328714,0.7673424281799095,0.41260284203625974,0.6829915211830135,0.764183080945268,0.687096464748421,0.3240842901273164,0.5917879452736683,YOLOv8n
14,YOLOv8 Nano,True,True,1,Random,5%,100%,100%,0.8642478212042626,0.771508798927652,0.4416641125544427,0.6924735775621191,0.7512933947064898,0.6699730561603414,0.33303804182731644,0.5847681642313827,YOLOv8n
15,YOLOv8 Nano,True,True,1,Random,5%,100%,110%,0.865351713571257,0.777146017427602,0.4206664384585131,0.687721389819124,0.7415571710216307,0.6699213688086278,0.30763859042580716,0.5730390434186886,YOLOv8n
16,YOLOv8 Nano,True,True,1,Random,5%,110%,90%,0.8462454053904991,0.7590094206350049,0.3648825781852303,0.6567124680702449,0.755377846359301,0.6829823824593588,0.2886541074466231,0.575671445421761,YOLOv8n
17,YOLOv8 Nano,True,True,1,Random,5%,110%,100%,0.8387003400715148,0.7469333042309169,0.35431239378730023,0.646648679363244,0.7609203633131524,0.6879450711478876,0.2895418148522533,0.5794690831044311,YOLOv8n
18,YOLOv8 Nano,True,True,1,Random,5%,110%,110%,0.8502925640881799,0.7609370620229216,0.39214690371794486,0.6677921766096822,0.7496111850686191,0.6782378041925408,0.30421927142071387,0.577356086893958,YOLOv8n
19,YOLOv8 Nano,True,True,1,Random,10%,90%,90%,0.8715581222859885,0.7966459674088013,0.44434082083035353,0.7041816368417144,0.7735650568054766,0.7090990324590425,0.3616484764833949,0.6147708552493046,YOLOv8n
20,YOLOv8 Nano,True,True,1,Random,10%,90%,100%,0.873890480744133,0.790007858890017,0.46383990424144855,0.7092460812918663,0.7780613672022814,0.711040138840698,0.37617542978527585,0.6217589786094184,YOLOv8n
21,YOLOv8 Nano,True,True,1,Random,10%,90%,110%,0.8623280889464306,0.7799435006579916,0.4363666155003376,0.6928794017015866,0.7490914999216652,0.6818467754974032,0.3330138722597587,0.5879840492262759,YOLOv8n
22,YOLOv8 Nano,True,True,1,Random,10%,100%,90%,0.8650974230560398,0.7656936499555033,0.4270826637685944,0.6859579122600458,0.742317691799961,0.6666373501732858,0.3237413053631838,0.5775654491121436,YOLOv8n
